front,back,hint,publishedAt
"Aussprache","pronunciation","Die Aussprache des neuen Wortes war für mich schwierig.","2025-05-23T06:09:21.356Z"
"heimlich","secretly","Er hat heimlich ein Geschenk für sie gekauft.","2021-02-12T15:27:04.648Z"
"lächerlich","ridiculous","","2026-04-02T08:32:26.885Z"
"Geisterwesen","Ghostly being","","2026-04-02T08:29:17.053Z"
"fragen zu stellen / nachfragen/ fragen","to ask questions / to inquire","Ich kann deine Sorgen nachvollziehen.","2026-04-02T08:15:55.424Z"
"abhängen / chillen","hang out / chill","Wir werden heute Abend bei mir abhängen und einen Film schauen.","2026-04-02T07:26:31.009Z"
"geklaut","stolen","Mein Fahrrad wurde gestern geklaut.","2026-04-02T07:17:59.555Z"
"Ruckhalt","Support","","2026-04-02T07:00:38.838Z"
"gewalt","violence","Die Polizei musste gegen die Gewalt in der Stadt einschreiten.","2021-02-13T21:15:25.560Z"
"Malbuch","Colouring book","","2025-07-18T14:29:22.691Z"
"Substanz","Substance","Die Substanz des Arguments war überzeugend.","2026-03-29T22:53:29.376Z"
"stadtgebiet","urban area","Die Stadtverwaltung plant neue Projekte im Stadtgebiet.","2026-03-31T22:26:40.753Z"
"außerordentlich","extraordinary","Die Schüler haben außerordentlich gute Noten in der Prüfung erzielt.","2026-03-24T13:35:38.284Z"
"kleckern","spill","Der Junge hat beim Essen gekleckert.","2025-07-15T14:25:26.856Z"
"anderthalb","one and a half","Ich habe anderthalb Liter Wasser gekauft.","2025-07-11T13:47:38.519Z"
"freundschaftliche","friendly","Wir haben eine freundschaftliche Beziehung seit unserer Kindheit.","2026-03-30T09:17:36.417Z"
"Geräusch","noise","Das Geräusch der Vögel am Morgen ist sehr beruhigend.","2026-03-30T09:21:49.399Z"
"Mischung","Mixture","Die Farben in dieser Mischung harmonieren sehr gut miteinander.","2025-07-18T14:28:08.548Z"
"Nervosität","Nervousness","Das Wort \"schwitzen\" wird häufig in verschiedenen Kontexten verwendet, zum Beispiel beim Sport, in der Hitze oder bei Nervosität.","2026-03-30T08:52:38.588Z"
"Drogen","Drug","","2025-07-11T13:46:35.076Z"
"rückstande","residues","Nach dem Fest blieben viele Rückstände auf dem Tisch.","2025-07-18T14:37:23.943Z"
"Zweifel","doubt","Ich habe Zweifel an seiner Ehrlichkeit.","2025-07-18T14:34:08.270Z"
"verspüren","feel","Ich verspüre ein Unbehagen im Nacken","2026-03-30T08:31:47.282Z"
"abzukühlen","to cool down","Schwitzen ist der Prozess, bei dem der Körper Flüssigkeit abgibt, um sich abzukühlen.","2026-03-30T08:51:49.690Z"
"mutmaßlich","presumed","Der mutmaßliche Täter wurde gestern festgenommen.","2025-07-18T14:36:24.506Z"
"Milchsäure","Lactic acid","Die Milchsäure in Joghurt sorgt für den typischen Geschmack.","2026-03-30T09:25:15.535Z"
"unwohl","uncomfortable","Nach dem langen Flug fühlte ich mich unwohl und müde.","2026-03-30T09:23:12.627Z"
"Verführarin","Seductress","Er konnte der Verführerin nicht widerstehen und folgte ihr in die Nacht.","2025-07-18T14:40:42.601Z"
"Schwitzen","Sweating","","2025-08-26T11:27:33.642Z"
"Britischem","British","","2025-07-18T14:29:49.279Z"
"Vielfalt","Diversity","Wir feiern die Vielfalt der Kulturen in unserer Stadt.","2025-07-18T14:27:54.452Z"
"Schwung","Momentum","Der Tänzer bewegte sich mit viel Schwung über die Bühne.","2025-07-18T14:27:03.889Z"
"schäme","be ashamed","Ich schäme mich, dass ich zu spät gekommen bin.","2025-07-11T13:43:56.893Z"
"andererseites","on the other hand","","2025-07-11T13:43:17.640Z"
"Einerseites","On the one hand","","2025-07-11T13:43:01.586Z"
"Erscheinungsbild","Appearance","Das Erscheinungsbild des neuen Gebäudes ist sehr modern.","2025-07-11T13:40:37.736Z"
"Ansonsten","Otherwise","Das Wetter ist schön. Ansonsten könnten wir drinnen bleiben.","2025-07-11T13:39:43.495Z"
"Kreatonen","Creatons","","2025-07-11T13:38:38.236Z"
"randürfen","margin","","2025-07-11T13:35:51.116Z"
"Eindruk","Impression","Der erste Eindruck zählt oft sehr viel.","2025-07-11T13:34:43.350Z"
"angefühlt","felt","","2025-07-09T17:34:51.156Z"
"abscheulich","hideous","Die abscheuliche Tat hat die ganze Stadt erschüttert.","2025-06-29T15:18:40.163Z"
"unverzeihlich","unforgivable","","2025-06-29T15:17:50.066Z"
"veranstaltet","hosts","Die Schule veranstaltet ein Sportfest.","2025-06-29T15:17:33.363Z"
"ausgelöscht","wiped out","","2025-06-29T15:16:53.859Z"
"schäm dich.","Shame on you.","","2025-06-29T15:15:55.132Z"
"nicht gebildet","not educated","","2025-06-29T15:14:58.276Z"
"Freilassung","Release","Die Freilassung des Gefangenen wurde von der Regierung angekündigt.","2025-06-29T15:14:12.032Z"
"wegzusehen","look away","","2025-06-29T15:13:40.825Z"
"Straßeninstallation","Street installation","","2025-06-29T15:12:33.388Z"
"Nichtregierungsorganisation","Non-governmental organisation","","2025-06-29T15:12:07.871Z"
"Protestaktion","Protest action","","2025-06-29T15:11:45.230Z"
"gegenüber","across from","","2025-06-29T15:11:22.491Z"
"Untätigkeit","Inactivity","","2025-06-29T15:11:06.388Z"
"Videobotschaft","Video message","","2025-06-26T10:00:55.986Z"
"Verbündeter","Ally","","2025-06-26T10:00:31.443Z"
"der Schnupfen","the runny nose","Ich habe Schnupfen und kann kaum atmen.","2021-02-07T23:45:30.770Z"
"herunterladen","download","Ich möchte das neue Spiel herunterladen.","2021-06-06T19:54:47.266Z"
"riesengroß","huge","Die Auswahl ist riesengroß.","2025-05-20T13:04:52.595Z"
"der Samen","the seed","Ich habe gestern Samen für Tomaten gepflanzt.","2021-06-14T15:14:46.566Z"
"haben, hatte, gehabt","to have","","2022-03-13T10:57:26.151Z"
"vorsichtig","careful","Er ist immer vorsichtig mit seinen Worten.","2021-01-27T07:52:45.574Z"
"spinnen, spann, gesponnen","to spin; to be crazy","Die Spinne spinnt ihr Netz im Garten.","2022-03-13T11:02:21.568Z"
"rechtlich","legally","Die rechtlichen Grundlagen des Vertrages müssen beachtet werden.","2021-06-05T08:09:32.658Z"
"ernst","serious","Das ist ein ernstes Problem.","2021-01-18T07:59:08.913Z"
"der Strand","the beach","Wir gehen morgen zum Strand.","2021-06-12T05:43:56.018Z"
"verwöhnen","spoil","Ich möchte dich mit einem schönen Abendessen verwöhnen.","2025-05-22T13:26:31.661Z"
"gegen","against","Ich bin gegen den Vorschlag.","2021-02-01T10:04:00.979Z"
"Ermäßigungen","Discounts","Die Schüler bekommen eine Ermäßigung auf das Eintrittsticket.","2021-06-28T10:11:04.706Z"
"meinung","opinion","Ich habe eine andere Meinung zu diesem Thema.","2021-01-27T06:43:04.440Z"
"Selbstgemacht","Homemade","Ich habe einen selbstgemachten Kuchen für die Feier gebacken.","2025-05-23T13:56:26.364Z"
"Realistisch","Realistic","","2022-04-20T09:57:45.999Z"
"Auszubildender / lehrling","trainee / apprentice","","2021-04-29T13:49:16.846Z"
"Lehrling","apprentice","Der Lehrling lernt jeden Tag neue Fähigkeiten in der Werkstatt.","2021-04-29T13:43:39.673Z"
"enorm","enormous","Die neue Schule hat einen enormen Spielplatz.","2021-07-08T13:49:00.324Z"
"die Augenbraue","the eyebrow","Ich muss meine Augenbrauen zupfen.","2021-06-10T23:18:48.901Z"
"schwören, schwor, geschworen","to swear","","2022-03-13T11:01:53.781Z"
"Die Nadel","The needle","Ich habe die Nadel verloren, als ich das Hemd genäht habe.","2021-06-21T05:58:56.388Z"
"Eingeschränkt","Restricted","Aufgrund der Pandemie sind die Reisemöglichkeiten für viele Menschen eingeschränkt.","2021-02-12T14:46:55.684Z"
"bloss","just","Ich habe bloss einen Euro dabei.","2021-02-07T23:28:44.802Z"
"angenehmen","pleasant","Ich wünsche dir einen angenehmen Tag.","2021-04-30T05:38:30.514Z"
"finden, fand, gefunden","to find","","2022-03-13T10:55:40.978Z"
"die Ankunft","the arrival","Die Ankunft des Zuges ist für 15 Uhr geplant.","2021-06-07T22:10:38.607Z"
"restlichen","remaining","Wir haben die restlichen Kekse aufgeteilt.","2021-01-26T10:51:06.672Z"
"Freiwillige / ehrenamtliche","volunteer","Viele Menschen engagieren sich in ehrenamtlichen Projekten, um anderen zu helfen.","2022-03-02T11:37:04.134Z"
"zuverlässig","reliable","Mein Freund ist sehr zuverlässig, er kommt immer pünktlich.","2021-01-27T08:17:36.988Z"
"gegenübersitzen","sit opposite","Wir haben uns beim Abendessen gegenübersitzen.","2021-04-29T12:34:20.906Z"
"geben, gab, gegeben","to give","","2022-03-13T10:56:19.356Z"
"Das tolle daran ist, dass","The great thing about it","Das tolle daran ist, dass es viele neue Freunde gibt.","2025-05-23T06:09:41.207Z"
"trinken, trank, getrunken","to drink","","2022-03-13T11:03:23.022Z"
"Zugehörigkeit","Affiliation","Die Zugehörigkeit zu einem Verein bietet viele Vorteile.","2022-03-04T06:21:11.376Z"
"genießen","enjoy","Ich genieße das Essen.","2021-01-27T13:48:44.718Z"
"der Verteidiger","the defender","Im Gerichtssaal war der Verteidiger sehr überzeugend.","2021-02-01T10:01:35.722Z"
"reiten, ritt, geritten","to ride","Ich reite jeden Sonntag im Wald.","2022-03-13T10:59:40.585Z"
"die Ausfahrt / Ausgang","the exit","-en\n\n1. Hier ist eine Ausfahrt, da dürfen Sie nicht parken.\n2. Wie weit ist es noch bis zur Ausfahrt Freiburg?","2022-03-20T14:44:44.954Z"
"langfristig","long term","Langfristig möchte ich ein eigenes Haus kaufen.","2025-05-23T06:13:48.966Z"
"künstlich","artificial","Die künstlichen Blumen sehen sehr realistisch aus.","2021-07-08T13:48:21.989Z"
"Arm","poor","Die Familie lebt in einem armen Viertel der Stadt.","2021-02-01T22:03:25.347Z"
"Konkretes","Concrete","Kannst du mir ein konkretes Beispiel geben?","2025-05-26T09:50:19.204Z"
"herrisch","bossy","Sie sprach in einem herrischen Ton, der alle anderen einschüchterte.","2021-02-13T19:18:16.371Z"
"schüchtern","shy","Der schüchterne Junge spricht nicht viel in der Schule.","2021-04-29T14:05:38.343Z"
"hilfsbereit, hilfsrich, hilfsvoll","helpful, helpful, helpful","Mein Nachbar ist sehr hilfsbereit.","2025-05-20T09:28:52.491Z"
"Gesellschaft","society","Die Gesellschaft hat sich in den letzten Jahren stark verändert.","2025-05-22T08:07:59.938Z"
"mittlerweile","meanwhile","Ich habe mittlerweile viel gelernt.","2021-02-27T09:58:23.950Z"
"tiefenentspannt","deeply relaxed","Nach dem Urlaub war ich endlich wieder tiefenentspannt.","2022-03-18T17:20:40.208Z"
"entstehen","emerge","Ein neues Problem kann entstehen.","2021-04-29T11:53:49.428Z"
"das Puzzle","the jigsaw","Ich habe ein neues Puzzle gekauft, das 1000 Teile hat.","2022-03-20T14:33:47.391Z"
"freiheit","freedom","In vielen Ländern kämpfen die Menschen für ihre Freiheit.","2021-02-01T22:09:40.120Z"
"Lebensverhältnisse","Living conditions","Bei mir waren das ein bisschen\nschwierige Lebensverhältnisse.","2022-03-04T14:29:04.452Z"
"zusammenarbeiten","work together","Die Schüler arbeiten in Gruppen zusammen, um ihre Präsentationen vorzubereiten.","2025-05-23T06:08:35.363Z"
"die Wurst","the sausage","Die Wurst auf dem Grill riecht köstlich.","2021-02-13T19:03:58.110Z"
"ungeduldig","impatient","","2021-02-13T19:18:18.026Z"
"schmeißen, schmiss, geschmissen","to throw, fling","","2022-03-13T11:01:02.866Z"
"sichtbar / einsehbar","visible / visible","Die Probleme sind offensichtlich und für jeden sichtbar.","2021-04-29T13:52:28.561Z"
"Raumschiff","Spaceship","Das Raumschiff startete erfolgreich von der Erde.","2022-03-20T13:05:12.419Z"
"aufnehmen","to take in, to record","Die Schule nimmt neue Schüler auf.","2022-03-20T14:43:35.051Z"
"Nostalgie","nostalgia","Die Nostalgie über die Kindheit erfüllt ihn, wenn er alte Fotos ansieht.","2021-04-29T15:21:40.688Z"
"die Überraschung","the surprise","Ich habe eine große Überraschung für dich geplant.","2021-01-18T06:26:18.320Z"
"Herausforderung","Challenge","Die Prüfung war eine große Herausforderung für mich.","2021-03-01T09:10:45.666Z"
"Schriftart","font","","2021-06-06T19:56:38.409Z"
"Der Abfluss","The drain","Der Abfluss in der Küche ist verstopft.","2021-04-28T21:39:20.299Z"
"zuschauen","watch","Jeder kann live dabei zuschauen.","2025-05-20T13:03:54.876Z"
"das Kopftuch","the headscarf","Sie trägt ein schönes Kopftuch, das ihre Augen betont.","2021-02-28T17:11:06.212Z"
"besorgt / sorgen","worried / concerned","Ich bin besorgt über die Gesundheit meiner Großmutter.","2021-01-20T13:57:58.149Z"
"erforschen / erkunden","explore","Die Wissenschaftler erforschen die Tiefen des Ozeans.","2021-02-10T13:29:47.405Z"
"Sumpf","swamp","Der Sumpf ist ein wichtiger Lebensraum für viele Tierarten.","2021-03-01T09:00:18.034Z"
"der Koriander","the coriander","","2021-06-12T22:25:04.207Z"
"Verpflichtung","Obligation","Er hat eine Verpflichtung gegenüber seiner Familie.","2021-02-01T12:07:21.457Z"
"die Braut","the bride","Die Braut trug ein wunderschönes weißes Kleid.","2021-04-29T14:04:17.143Z"
"seltsam","strange","Das ist eine seltsame Geschichte.","2021-04-30T14:57:52.230Z"
"vertrauensvoll","trustworthy","Die Kinder schauten vertrauensvoll zu ihrem Lehrer auf.","2025-05-20T09:31:26.632Z"
"abteil, wagen","compartment","Im Zug gibt es ein ruhiges Abteil für Reisende.","2021-02-13T18:21:58.151Z"
"bemerkt/beobachtet / beachtete","noticed/observed","Er beachtete die Hinweise auf dem Schild.","2021-01-26T14:16:17.934Z"
"verschwinden","disappear","Die Wolken verschwinden am Himmel.","2021-01-30T16:56:02.901Z"
"geschickt","cleverly","Sie hat geschickt die Situation gemeistert.","2025-05-20T09:28:36.239Z"
"leidenschaftlich","passionate","Er ist ein leidenschaftlicher Fußballfan.","2025-05-23T13:43:13.181Z"
"Tropfen","Drops","Ein Tropfen Wasser fiel vom Dach.","2021-01-26T10:08:38.955Z"
"Zusätzlich","Additionally","Zusätzlich gibt es einen Rabatt für Studenten.","2021-04-29T07:51:45.433Z"
"geteilt / unterteilt","divided","","2021-01-31T02:44:19.676Z"
"vermissen","miss","Ich vermisse meine Freunde, die weit weg wohnen.","2025-05-20T13:19:00.995Z"
"der Verlobte","the fiance","Mein Verlobte und ich planen unsere Hochzeit für nächstes Jahr.","2021-06-10T23:17:04.982Z"
"entgehen","escape","Die Chance, im Ausland zu studieren, ist mir entgangen.","2021-01-27T10:06:58.292Z"
"sprechen, sprach, gesprochen","to speak","","2022-03-13T11:02:24.120Z"
"vorteil","advantage","Der Vorteil dieser neuen Technologie ist, dass sie schneller arbeitet.","2021-01-26T08:02:45.465Z"
"aufmerksam, achtsam","attentive","Er hörte aufmerksam zu, als sie ihm die Geschichte erzählte.","2021-02-08T09:29:00.743Z"
"absagen","cancel/refuse","Ich muss das Treffen absagen.","2021-01-28T10:05:55.608Z"
"vertraulich","confidential","Bitte behandeln Sie unser Gespräch als vertraulich.","2021-01-27T10:54:01.009Z"
"sogar Schmerzen lindern","even relieve pain","Die neue Therapie kann sogar Schmerzen lindern.","2025-05-23T14:00:01.232Z"
"ebenfalls","Likewise","Er hat das Buch gelesen, ich habe es ebenfalls gelesen.","2021-04-29T07:51:06.884Z"
"wohlschmeckend /lecker","tasty / tasty","Die Suppe schmeckt lecker und hat viele Gewürze.","2021-04-30T12:47:28.080Z"
"komisch","funny/strange/humorous","","2021-02-02T08:36:34.441Z"
"vielfältiger","more diverse","Die neue Speisekarte ist viel vielfältiger als die alte.","2025-05-22T08:08:27.192Z"
"Sicherlich","Definitely","Sicherlich wird es morgen regnen.","2021-01-16T17:41:41.385Z"
"die Diät","the diet","Ich habe beschlossen, eine Diät zu machen, um gesünder zu leben.","2021-06-10T23:23:19.262Z"
"Umkreis / Umgebung","Area / surroundings","Der Umkreis der Stadt ist sehr schön und hat viele Parks.","2021-04-30T06:13:41.654Z"
"schieben, schob, geschoben","to push","Ich schiebe den Tisch zur Wand.","2022-03-13T11:00:30.878Z"
"laut","loud","Die Musik ist sehr laut.","2025-05-23T06:15:55.645Z"
"Abwesenheit","absence","Seine Abwesenheit fiel allen Kollegen auf.","2022-03-20T14:09:01.100Z"
"das WC","the toilet","-s","2022-03-20T14:29:06.563Z"
"blass","pale","Der Himmel war blass und grau, als der Regen begann.","2021-06-24T07:14:32.227Z"
"voran","Ahead","Die Gruppe arbeitet hart, um das Projekt voran zu bringen.","2021-02-14T18:26:42.184Z"
"der Vulkan","the volcano","Der Vulkan in Island ist sehr aktiv.","2021-06-12T05:41:12.147Z"
"beschäftigt","busy","Ich bin heute sehr beschäftigt.","2021-04-29T20:21:18.597Z"
"die Köchin","the Cook","Die Köchin bereitet ein leckeres Abendessen für die Familie vor.","2021-06-09T05:26:29.437Z"
"Transportmittel","Means of transport","Das Auto ist ein beliebtes Transportmittel in der Stadt.","2021-02-13T18:20:51.251Z"
"messen, maß, gemessen","to measure","Kannst du bitte die Temperatur des Wassers messen?","2022-03-13T10:58:53.749Z"
"Fortschritt","progress","Die Technologie hat in den letzten Jahren großen Fortschritt gemacht.","2021-03-02T10:17:04.680Z"
"ausleihen","borrow","Kann ich dir mein Buch ausleihen?","2021-06-17T13:13:11.337Z"
"denselben / gleichen","same / same","Wir haben denselben Lehrer in der Schule.","2021-01-20T14:39:17.773Z"
"der Vorfahr","the ancestor","Mein Vorfahr kam im 18. Jahrhundert nach Deutschland.","2021-06-10T23:16:55.775Z"
"der Zimt","the cinnamon","","2021-06-12T22:22:52.752Z"
"ehemalige","former","Die ehemalige Präsidentin hielt eine inspirierende Rede.","2021-02-01T22:08:38.875Z"
"glitschig","slippery","Der Weg ist nach dem Regen glitschig.","2025-05-23T05:54:42.072Z"
"die Fusion","the merger","Die Fusion der beiden Unternehmen hat neue Möglichkeiten geschaffen.","2021-06-04T16:56:11.813Z"
"schieben / Druk","push / press","Ich schiebe den Tisch zur Wand.","2021-01-26T08:03:52.246Z"
"Bereich","Area","Der Bereich der Wissenschaft ist sehr vielfältig.","2021-01-30T23:29:57.516Z"
"rausgezogen","pulled out","Er hat das Kabel aus der Steckdose rausgezogen.","2021-01-27T15:35:47.362Z"
"Kante / Rande","edge","Die Kante/Rande des Tisches ist sehr scharf.","2021-02-27T10:13:54.980Z"
"streiten","fight/argue","Wir streiten oft über die besten Filme.","2021-04-08T05:54:32.182Z"
"die Altersversorgung","the pension scheme","Die Altersversorgung ist ein wichtiges Thema für junge Menschen.","2021-02-08T09:34:16.038Z"
"verweigen","deny","Sie verweigert, das Geschenk anzunehmen.","2022-03-08T05:41:53.927Z"
"nützlich","useful","Das sind nützliche Informationen.","2021-02-13T19:05:03.745Z"
"die Vergewaltigung","the rape","Die Polizei ermittelt in einem Fall von Vergewaltigung.","2021-06-05T09:31:49.963Z"
"singen, sang, gesungen","to sing","","2022-03-13T11:02:00.969Z"
"Phrase /  Redewendung","Phrase","Das ist eine gängige Phrase in der deutschen Sprache.","2021-05-03T05:54:33.240Z"
"der Hubschrauber","the helicopter","Der Hubschrauber fliegt über die Stadt.","2021-03-05T07:12:59.011Z"
"niemand","nobody","Niemand weiß, wo er ist.","2021-04-29T12:06:36.402Z"
"bescheiden","humble/modest","Er ist sehr bescheiden über seine Erfolge.","2021-02-02T08:35:06.347Z"
"freude","joy","Die Kinder spielen im Park und haben viel Freude.","2025-05-23T06:14:22.550Z"
"Zeitraum","Period","Der Zeitraum für die Anmeldung endet nächste Woche.","2021-06-12T05:47:21.372Z"
"preisen, pries, gepriesen","to praise","Die Kritiker priesen den neuen Film als Meisterwerk.","2022-03-13T10:59:23.238Z"
"greifen","grab","Er greift nach dem Ball.","2021-01-26T08:02:11.074Z"
"Wald","Forest","Der Wald ist ein schöner Ort zum Spazierengehen.","2021-04-08T06:29:32.430Z"
"Wagen / Kutsche","carriage","Die Kutsche fährt durch den schönen Park.","2021-02-05T19:45:03.558Z"
"Übersetzung","translation","Die Übersetzung ins Englische war nicht ganz korrekt.","2021-02-13T17:58:56.642Z"
"natürlich","Naturally","Das Wasser ist natürlich klar.","2025-05-20T09:28:16.929Z"
"schlagen / Ohrfeige","slap / slap in the face","Man sollte niemals jemanden schlagen, egal aus welchem Grund.","2021-05-03T06:11:16.701Z"
"kommunikativ","communicative","Mein Freund ist sehr kommunikativ und erzählt immer spannende Geschichten.","2025-05-20T09:29:29.515Z"
"Körpergröße","Height","Die Körpergröße von Max beträgt 1,75 Meter.","2021-01-31T02:14:41.100Z"
"schwimmen, schwamm, geschwommen","to swim","","2022-03-13T11:01:39.712Z"
"Anwendung","application","Die Anwendung der neuen Software ist sehr einfach.","2021-06-06T19:56:10.305Z"
"Ersatz","Replacement","Ich brauche einen Ersatz für die kaputte Glühbirne.","2021-02-28T21:39:25.489Z"
"platte Reifen","flat tyres","Ich habe einen platte Reifen und muss ihn reparieren lassen.","2022-03-02T11:39:38.769Z"
"lustig","funny","Sie erzählt immer lustige Geschichten.","2025-05-20T09:28:05.447Z"
"reiben, rieb, gerieben","to rub","Ich reibe die Karotten für den Salat.","2022-03-13T10:59:33.965Z"
"der Dschungel","the jungle","Im Dschungel gibt es viele exotische Tiere und Pflanzen.","2021-06-12T05:42:41.815Z"
"Die Geige","violin","Die Geige ist ein sehr vielseitiges Instrument.","2022-03-02T13:02:26.362Z"
"stolz","proud","Sie ist stolz auf ihre Familie.","2021-02-02T08:32:39.572Z"
"Gesichtsausdruck","Facial expression","Sein Gesichtsausdruck verriet, dass er sehr glücklich war.","2021-05-01T07:33:51.675Z"
"pfeifen, pfiff, gepfiffen","to whistle","Er pfiff ein fröhliches Lied, während er durch den Park ging.","2022-03-13T10:59:18.255Z"
"Geruch","Smell","Der Geruch von Rauch machte mir Sorgen.","2021-01-27T21:27:29.829Z"
"reklame / werbung","advertising / advertising","Die Reklame für das neue Produkt war sehr auffällig.","2021-02-18T06:26:01.384Z"
"Zart","Delicate","Die zarte Blume blüht im Frühling.","2021-02-02T09:55:43.230Z"
"Der Rythmus","The rhythm","Der Rhythmus des Liedes ist sehr eingängig.","2025-05-23T06:16:34.550Z"
"verderben","spoil","Die Sonne kann die Lebensmittel verderben, wenn sie zu lange draußen stehen.","2021-02-13T19:17:02.968Z"
"der Schmuck","the jewelry","","2021-01-18T09:24:02.463Z"
"das Argument","the argument","Sein Argument war sehr überzeugend und hat viele Zuhörer beeindruckt.","2021-02-10T10:54:51.693Z"
"Schönheit","beauty","Die Schönheit der Natur beeindruckt mich jedes Mal.","2021-04-30T09:18:22.604Z"
"neu laden","reload","Wenn die Webseite nicht richtig angezeigt wird, kannst du sie neu laden.","2021-06-08T06:52:19.530Z"
"Wahl","election","Die Wahl zum Bürgermeister findet nächsten Monat statt.","2021-04-30T14:08:55.648Z"
"Unbekannt, ungewohnt","Unknown, unfamiliar","Ich liebe es, das Unbekannte zu erkunden.","2021-01-26T08:06:54.468Z"
"eifersüchtig","jealous","Sie ist eifersüchtig auf ihre beste Freundin.","2021-02-13T19:17:52.695Z"
"verpassen","to miss","Ich habe den Bus verpasst und musste auf den nächsten warten.","2022-03-10T11:00:16.847Z"
"der Briefkasten / die Mailbox","the letterbox / the mailbox","Ich habe den Brief in den Briefkasten geworfen.","2022-03-20T14:33:15.385Z"
"verletzt","injured","Er hat sich beim Fußballspielen verletzt.","2021-01-26T19:01:23.146Z"
"schärfen / anspitzen","sharpening / sharpening","Ich muss meinen Bleistift anspitzen, bevor ich mit dem Zeichnen beginne.","2021-06-17T12:12:03.007Z"
"die Saison","the season","Die Fußball-Saison beginnt im August.","2021-06-12T05:46:33.391Z"
"kaum","barely / hardly","Ich habe kaum Zeit für Hausaufgaben.","2021-02-01T14:21:20.944Z"
"aufrüstbar","upgradeable","Der Computer ist aufrüstbar, sodass man später mehr RAM hinzufügen kann.","2021-06-17T12:13:55.946Z"
"der Bogen","the bow / Arch","Der Bogen des Regenbogens ist sehr schön.","2021-02-22T14:37:09.919Z"
"spucken","spit","Er spuckte den Kaugummi auf den Boden.","2021-02-26T09:53:11.382Z"
"schließen, schloss, geschlossen","to close","","2022-03-13T11:00:54.350Z"
"Brustkorb","Chest","Nach dem Sport hatte ich Schmerzen im Brustkorb.","2021-02-05T14:11:14.022Z"
"Schönen Feierabend!","Have a nice evening!","","2021-06-21T05:54:26.697Z"
"stoßen","bump","Ich stoße die Tür auf.","2021-02-25T14:25:16.082Z"
"getötet / umgebracht","killed / murdered","Der Jäger hat das Wildtier getötet.","2021-02-06T17:43:53.229Z"
"größtenteils, hauptsächlich","Mostly","Die Veranstaltung war größtenteils ein Erfolg.","2021-07-01T22:31:36.812Z"
"skeptisch","skeptical","Ich bin skeptisch gegenüber den neuen Vorschlägen des Unternehmens.","2022-03-20T14:08:02.016Z"
"die Fontäne","the fountain","Die Fontäne im Park spritzt hoch in die Luft.","2021-01-30T12:35:11.932Z"
"der Fluss","the River","Der Rhein ist einer der längsten Flüsse in Deutschland.","2025-05-20T13:01:21.228Z"
"ewig","forever","","2021-04-29T06:05:38.657Z"
"das Seil","the rope","Wir brauchen ein starkes Seil, um das Boot festzumachen.","2021-02-22T14:57:54.372Z"
"Berufsalltag","Everyday professional life","Im Berufsalltag ist es wichtig, gut organisiert zu sein.","2022-03-03T14:52:08.670Z"
"Meeresspiegel","Sea level","Der Meeresspiegel steigt aufgrund der globalen Erwärmung.","2021-04-08T06:30:30.165Z"
